NODE DEGREE EIGEN CLOSENESS BETWEENNESS
0 0 1.0416e-44 0 0
1 0.0526316 1.68461e-06 0.666667 0
2 0.105263 0.49996 0.571429 3
3 0.0526316 1.68461e-06 0.666667 0
4 0.0526316 1.32038e-14 1 0
5 0.105263 0.00765102 0.75 2
6 0 1.0416e-44 0 0
7 0.0526316 0.00472859 0.5 0
8 0 1.0416e-44 0 0
9 0 1.0416e-44 0 0
10 0.105263 2.3824e-06 1 1
11 0 1.0416e-44 0 0
12 0.0526316 0.288652 0.4 0
13 0 1.0416e-44 0 0
14 0.105263 0.577304 0.666667 4
15 0.0526316 0.288652 0.4 0
16 0.0526316 0.00472859 0.5 0
17 0.105263 0.00765102 0.75 2
18 0.105263 0.49996 0.571429 3
19 0.0526316 1.32038e-14 1 0
